iso2_code,ASP.NET,Assembly,Awk,Batchfile,Bicep,Brainfuck,C,C#,C++,CMake,Clojure,CoffeeScript,Cuda,Cython,Dart,Dockerfile,Emacs Lisp,Forth,Fortran,GAP,GDB,GDScript,GLSL,Gherkin,Go,Groovy,HCL,HLSL,Hack,Java,JavaScript,Jsonnet,Julia,Kotlin,Lex,Lua,M,M4,MATLAB,Makefile,Mako,Mathematica,Meson,Motoko,NSIS,Nix,Objective-C,Objective-C++,Open Policy Agent,PHP,PLpgSQL,Pascal,Perl,PowerShell,Procfile,Puppet,PureBasic,Python,QMake,R,Raku,Ruby,Rust,SWIG,Scala,Scheme,ShaderLab,Shell,Smalltalk,Smarty,Solidity,Starlark,Swift,TSQL,Tcl,TypeScript,VHDL,Verilog,Vim Script,Visual Basic .NET,XSLT,Yacc,sed
MR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
MA,0,12,0,19,0,29,5,15,10,17,0,36,0,32,21,8,0,34,0,0,0,0,0,0,25,0,0,0,14,3,1,0,0,16,0,28,35,0,30,11,0,0,0,0,0,26,18,0,0,7,0,0,31,22,23,13,0,2,0,0,0,9,27,0,0,0,0,4,0,33,24,0,20,0,0,6,0,0,0,0,0,0,0
MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
NG,0,13,0,22,0,30,5,21,11,20,0,45,0,34,17,6,0,37,0,0,0,0,0,44,24,43,28,0,26,10,1,0,0,14,0,36,31,46,29,18,35,0,0,0,0,23,15,32,0,8,40,0,38,25,12,19,0,2,0,39,0,9,27,0,0,0,0,4,0,33,7,0,16,41,0,3,0,0,0,0,42,0,0
RE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
RW,0,18,0,19,0,0,7,0,10,17,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0,0,13,0,0,0,0,0,21,0,0,0,0,0,0,14,0,0,6,0,0,0,20,0,11,0,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0
OM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
SA,0,22,0,18,0,0,5,16,7,15,0,0,0,0,13,9,0,0,0,0,0,0,0,0,24,0,0,26,20,3,1,0,0,12,0,23,0,0,0,17,0,0,0,0,0,0,11,0,0,10,0,0,0,19,21,0,0,2,0,25,0,14,0,0,0,0,27,4,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0
